species,flipper_length_mm,culmen_length_mm,culmen_depth_mm,body_mass_g,island,sex
Adelie Penguin (Pygoscelis adeliae),181,39.1,18.7,3750,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),186,39.5,17.4,3800,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),195,40.3,18,3250,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),193,36.7,19.3,3450,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),190,39.3,20.6,3650,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),181,38.9,17.8,3625,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),195,39.2,19.6,4675,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),182,41.1,17.6,3200,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),191,38.6,21.2,3800,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),198,34.6,21.1,4400,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),185,36.6,17.8,3700,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),195,38.7,19,3450,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),197,42.5,20.7,4500,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),184,34.4,18.4,3325,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),194,46,21.5,4200,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),174,37.8,18.3,3400,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),180,37.7,18.7,3600,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),189,35.9,19.2,3800,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),185,38.2,18.1,3950,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),180,38.8,17.2,3800,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),187,35.3,18.9,3800,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),183,40.6,18.6,3550,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),187,40.5,17.9,3200,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),172,37.9,18.6,3150,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),180,40.5,18.9,3950,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),178,39.5,16.7,3250,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),178,37.2,18.1,3900,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),188,39.5,17.8,3300,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),184,40.9,18.9,3900,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),195,36.4,17,3325,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),196,39.2,21.1,4150,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),190,38.8,20,3950,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),180,42.2,18.5,3550,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),181,37.6,19.3,3300,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),184,39.8,19.1,4650,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),182,36.5,18,3150,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),195,40.8,18.4,3900,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),186,36,18.5,3100,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),196,44.1,19.7,4400,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),185,37,16.9,3000,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),190,39.6,18.8,4600,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),182,41.1,19,3425,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),190,36,17.9,3450,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),191,42.3,21.2,4150,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),186,39.6,17.7,3500,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),188,40.1,18.9,4300,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),190,35,17.9,3450,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),200,42,19.5,4050,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),187,34.5,18.1,2900,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),191,41.4,18.6,3700,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),186,39,17.5,3550,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),193,40.6,18.8,3800,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),181,36.5,16.6,2850,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),194,37.6,19.1,3750,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),185,35.7,16.9,3150,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),195,41.3,21.1,4400,Biscoe,MALE
